nom_commune_adherente;code_insee_commune_adherente;zip_code;nom_commune_zip
Casteide-Cami;64171;64170;Casteide-Cami, 64170
Lacq (avant 2024);64300;64170;Lacq (avant 2024), 64170
Labastide-Cézéracq;64288;64170;Labastide-Cézéracq, 64170
Lopigna;2A144;20139;Lopigna, 20139
Saint-Jean-Saint-Maurice-sur-Loire;42239;42155;Saint-Jean-Saint-Maurice-sur-Loire, 42155
Villemontais;42331;42155;Villemontais, 42155
Lentigny;42120;42155;Lentigny, 42155
Saint-Léger-sur-Roanne;42253;42155;Saint-Léger-sur-Roanne, 42155
Ouches;42162;42155;Ouches, 42155
Pouilly-les-Nonains;42176;42155;Pouilly-les-Nonains, 42155
Alsting;57013;57515;Alsting, 57515
Montenescourt;62586;62123;Montenescourt, 62123
Monchiet;62578;62123;Monchiet, 62123
Simencourt;62796;62123;Simencourt, 62123
Berneville;62115;62123;Berneville, 62123
Bailleulval;62074;62123;Bailleulval, 62123
Bailleulmont;62072;62123;Bailleulmont, 62123
Beaumetz-lès-Loges;62097;62123;Beaumetz-lès-Loges, 62123
Warlus;62878;62123;Warlus, 62123
Habarcq;62399;62123;Habarcq, 62123
Wanquetin;62874;62123;Wanquetin, 62123
Gouves;62378;62123;Gouves, 62123
Noyellette;62629;62123;Noyellette, 62123
Berles-au-Bois;62112;62123;Berles-au-Bois, 62123
Basseux;62085;62123;Basseux, 62123
Gouy-en-Artois;62379;62123;Gouy-en-Artois, 62123
Saint-Martin-de-Fenouillet;66184;66220;Saint-Martin-de-Fenouillet, 66220
Vira;66232;66220;Vira, 66220
Saint-Paul-de-Fenouillet;66187;66220;Saint-Paul-de-Fenouillet, 66220
Prugnanes;66152;66220;Prugnanes, 66220
Ansignan;66006;66220;Ansignan, 66220
Saint-Arnac;66169;66220;Saint-Arnac, 66220
Fosse;66083;66220;Fosse, 66220
Trilla;66216;66220;Trilla, 66220
Caudiès-de-Fenouillèdes;66046;66220;Caudiès-de-Fenouillèdes, 66220
Lesquerde;66097;66220;Lesquerde, 66220
Fenouillet;66077;66220;Fenouillet, 66220
Batzendorf;67023;67500;Batzendorf, 67500
Haguenau;67180;67500;Haguenau, 67500
Niederschaeffolsheim;67331;67500;Niederschaeffolsheim, 67500
Weitbruch;67523;67500;Weitbruch, 67500
Diefmatten;68071;68780;Diefmatten, 68780
Sternenberg;68326;68780;Sternenberg, 68780
MORTZWILLER;68219;68780;MORTZWILLER, 68780
Le Haut Soultzbach;68219;68780;Le Haut Soultzbach, 68780
Bretten;68052;68780;Bretten, 68780
Soppe-le-Bas;68313;68780;Soppe-le-Bas, 68780
Sentheim;68304;68780;Sentheim, 68780
Mailly;71271;71340;Mailly, 71340
Iguerande;71238;71340;Iguerande, 71340
Fleury-la-Montagne;71200;71340;Fleury-la-Montagne, 71340
